time	phase	flux	fluxerr			phase	flux		
2460511.270	0.077	1.000145	0.000135			0.077	1.000145		
2460511.280	0.078	0.999959	0.000434			0.078	0.999959		
2460511.290	0.079	1.000268	0.000177			0.079	1.000268		
2460511.300	0.080	0.999932	0.000404			0.08	0.999932		
2460511.310	0.081	1.000328	0.000379			0.081	1.000328		
2460511.320	0.082	1.000429	0.000435			0.082	1.000429		
2460511.330	0.083	1.000208	0.000385			0.083	1.000208		
2460511.340	0.084	1.000248	0.000047			0.084	1.000248		
2460511.350	0.085	1.000240	0.000410			0.085	1.000240		
2460511.360	0.086	1.000300	0.000123			0.086	1.000300		
2460511.370	0.087	1.000133	0.000273			0.087	1.000133		
2460511.380	0.088	1.000253	0.000353			0.088	1.000253		
2460511.390	0.089	1.000272	0.000452			0.089	1.000272		
2460511.400	0.090	1.000305	0.000165			0.09	1.000305		
2460511.410	0.091	0.999825	0.000097			0.091	0.999825		
2460511.420	0.092	1.000244	0.000017			0.092	1.000244		
2460511.430	0.093	1.000420	0.000149			0.093	1.000420		
2460511.440	0.094	1.000422	0.000163			0.094	1.000422		
2460511.450	0.095	1.000333	0.000097			0.095	1.000333		
2460511.460	0.096	1.000326	0.000081			0.096	1.000326		
2460511.470	0.097	1.000023	0.000017			0.097	1.000023		
2460511.480	0.098	1.000135	0.000481			0.098	1.000135		
2460511.490	0.099	1.000046	0.000240			0.099	1.000046		
2460511.500	0.100	1.000466	0.000338			0.1	1.000466		
2460511.510	0.101	1.000286	0.000494			0.101	1.000286		
2460511.520	0.102	0.999957	0.000372			0.102	0.999957		
2460511.530	0.103	1.000247	0.000348			0.103	1.000247		
2460511.540	0.104	0.999993	0.000211			0.104	0.999993		
2460511.550	0.105	1.000272	0.000355			0.105	1.000272		
2460511.560	0.106	1.000330	0.000343			0.106	1.000330		
2460511.570	0.107	1.000156	0.000205			0.107	1.000156		
2460511.580	0.108	1.000029	0.000010			0.108	1.000029		
2460511.590	0.109	1.000122	0.000301			0.109	1.000122		
2460511.600	0.110	1.000102	0.000447			0.11	1.000102		
2460511.610	0.111	1.000027	0.000151			0.111	1.000027		
2460511.620	0.112	1.000248	0.000132			0.112	1.000248		
2460511.630	0.113	1.000475	0.000122			0.113	1.000475		
2460511.640	0.114	1.000051	0.000163			0.114	1.000051		
2460511.650	0.115	1.000146	0.000203			0.115	1.000146		
2460511.660	0.116	1.000218	0.000123			0.116	1.000218		
2460511.670	0.117	0.999952	0.000237			0.117	0.999952		
2460511.680	0.118	1.000378	0.000328			0.118	1.000378		
2460511.690	0.119	1.000467	0.000202			0.119	1.000467		
2460511.700	0.120	1.000382	0.000207			0.12	1.000382		
2460511.710	0.121	1.000046	0.000500			0.121	1.000046		
2460511.720	0.122	0.999902	0.000038			0.122	0.999902		
2460511.730	0.123	1.000120	0.000341			0.123	1.000120		
2460511.740	0.124	1.000064	0.000342			0.124	1.000064		
2460511.750	0.125	1.000381	0.000093			0.125	1.000381		
2460511.760	0.126	1.000131	0.000482			0.126	1.000131		
2460511.770	0.127	1.000138	0.000467			0.127	1.000138		
2460511.780	0.128	1.000277	0.000297			0.128	1.000277		
2460511.790	0.129	0.999920	0.000068			0.129	0.999920		
2460511.800	0.130	1.000360	0.000119			0.13	1.000360		
2460511.810	0.131	1.000400	0.000298			0.131	1.000400		
2460511.820	0.132	1.000035	0.000229			0.132	1.000035		
2460511.830	0.133	1.000240	0.000492			0.133	1.000240		
2460511.840	0.134	1.000112	0.000368			0.134	1.000112		
2460511.850	0.135	1.000378	0.000315			0.135	1.000378		
2460511.860	0.136	0.999915	0.000349			0.136	0.999915		
2460511.870	0.137	1.000299	0.000297			0.137	1.000299		
2460511.880	0.138	1.000029	0.000124			0.138	1.000029		
2460511.890	0.139	0.999978	0.000263			0.139	0.999978		
2460511.900	0.140	1.000151	0.000114			0.14	1.000151		
2460511.910	0.141	1.000293	0.000229			0.141	1.000293		
2460511.920	0.142	0.999986	0.000000			0.142	0.999986		
2460511.930	0.143	1.000099	0.000453			0.143	1.000099		
2460511.940	0.144	1.000497	0.000331			0.144	1.000497		
2460511.950	0.145	1.000186	0.000282			0.145	1.000186		
2460511.960	0.146	1.000062	0.000145			0.146	1.000062		
2460511.970	0.147	0.999975	0.000312			0.147	0.999975		
2460511.980	0.148	1.000015	0.000430			0.148	1.000015		
2460511.990	0.149	1.000167	0.000249			0.149	1.000167		
2460512.000	0.150	1.000266	0.000464			0.15	1.000266		
2460512.010	0.151	1.000447	0.000099			0.151	1.000447		
2460512.020	0.152	1.000353	0.000453			0.152	1.000353		
2460512.030	0.153	1.000210	0.000001			0.153	1.000210		
2460512.040	0.154	1.000184	0.000260			0.154	1.000184		
2460512.050	0.155	1.000394	0.000286			0.155	1.000394		
2460512.060	0.156	1.000181	0.000051			0.156	1.000181		
2460512.070	0.157	1.000311	0.000329			0.157	1.000311		
2460512.080	0.158	1.000081	0.000121			0.158	1.000081		
2460512.090	0.159	1.000110	0.000066			0.159	1.000110		
2460512.100	0.160	1.000285	0.000114			0.16	1.000285		
2460512.110	0.161	0.999985	0.000271			0.161	0.999985		
2460512.120	0.162	1.000047	0.000264			0.162	1.000047		
2460512.130	0.163	1.000419	0.000125			0.163	1.000419		
2460512.140	0.164	1.000317	0.000075			0.164	1.000317		
2460512.150	0.165	1.000115	0.000318			0.165	1.000115		
2460512.160	0.166	1.000250	0.000237			0.166	1.000250		
2460512.170	0.167	0.999936	0.000154			0.167	0.999936		
2460512.180	0.168	1.000083	0.000387			0.168	1.000083		
2460512.190	0.169	1.000373	0.000229			0.169	1.000373		
2460512.200	0.170	1.000068	0.000395			0.17	1.000068		
2460512.210	0.171	1.000309	0.000487			0.171	1.000309		
2460512.220	0.172	1.000068	0.000409			0.172	1.000068		
2460512.230	0.173	1.000169	0.000361			0.173	1.000169		
2460512.240	0.174	1.000270	0.000139			0.174	1.000270		
2460512.250	0.175	1.000202	0.000078			0.175	1.000202		
2460512.260	0.176	1.000287	0.000022			0.176	1.000287		
2460512.270	0.177	0.999941	0.000092			0.177	0.999941		
2460512.280	0.178	1.000255	0.000025			0.178	1.000255		
2460512.290	0.179	1.000312	0.000495			0.179	1.000312		
2460512.300	0.180	1.000394	0.000128			0.18	1.000394		
2460512.310	0.181	1.000309	0.000053			0.181	1.000309		
2460512.320	0.182	1.000237	0.000272			0.182	1.000237		
2460512.330	0.183	1.000096	0.000118			0.183	1.000096		
2460512.340	0.184	1.000118	0.000301			0.184	1.000118		
2460512.350	0.185	1.000295	0.000344			0.185	1.000295		
2460512.360	0.186	1.000135	0.000386			0.186	1.000135		
2460512.370	0.187	1.000144	0.000295			0.187	1.000144		
2460512.380	0.188	1.000097	0.000386			0.188	1.000097		
2460512.390	0.189	1.000396	0.000220			0.189	1.000396		
2460512.400	0.190	1.000246	0.000374			0.19	1.000246		
2460512.410	0.191	0.999815	0.000018			0.191	0.999815		
2460512.420	0.192	1.000342	0.000306			0.192	1.000342		
2460512.430	0.193	1.000268	0.000314			0.193	1.000268		
2460512.440	0.194	1.000471	0.000452			0.194	1.000471		
2460512.450	0.195	1.000162	0.000180			0.195	1.000162		
2460512.460	0.196	1.000039	0.000495			0.196	1.000039		
2460512.470	0.197	1.000085	0.000073			0.197	1.000085		
2460512.480	0.198	0.999971	0.000198			0.198	0.999971		
2460512.490	0.199	1.000174	0.000422			0.199	1.000174		
2460512.500	0.200	1.000193	0.000358			0.2	1.000193		
2460512.510	0.201	1.000038	0.000200			0.201	1.000038		
2460512.520	0.202	1.000258	0.000258			0.202	1.000258		
2460512.530	0.203	0.999837	0.000017			0.203	0.999837		
2460512.540	0.204	1.000180	0.000068			0.204	1.000180		
2460512.550	0.205	1.000324	0.000237			0.205	1.000324		
2460512.560	0.206	1.000162	0.000152			0.206	1.000162		
2460512.570	0.207	1.000453	0.000102			0.207	1.000453		
2460512.580	0.208	1.000298	0.000465			0.208	1.000298		
2460512.590	0.209	1.000288	0.000224			0.209	1.000288		
2460512.600	0.210	1.000082	0.000218			0.21	1.000082		
2460512.610	0.211	1.000353	0.000298			0.211	1.000353		
2460512.620	0.212	1.000445	0.000462			0.212	1.000445		
2460512.630	0.213	1.000366	0.000498			0.213	1.000366		
2460512.640	0.214	1.000174	0.000457			0.214	1.000174		
2460512.650	0.215	1.000257	0.000196			0.215	1.000257		
2460512.660	0.216	1.000120	0.000168			0.216	1.000120		
2460512.670	0.217	0.999986	0.000313			0.217	0.999986		
2460512.680	0.218	1.000433	0.000057			0.218	1.000433		
2460512.690	0.219	1.000418	0.000301			0.219	1.000418		
2460512.700	0.220	1.000027	0.000043			0.22	1.000027		
2460512.710	0.221	1.000344	0.000283			0.221	1.000344		
2460512.720	0.222	1.000107	0.000261			0.222	1.000107		
2460512.730	0.223	0.999913	0.000015			0.223	0.999913		
2460512.740	0.224	1.000156	0.000357			0.224	1.000156		
2460512.750	0.225	1.000205	0.000400			0.225	1.000205		
2460512.760	0.226	1.000148	0.000491			0.226	1.000148		
2460512.770	0.227	1.000333	0.000014			0.227	1.000333		
2460512.780	0.228	1.000051	0.000246			0.228	1.000051		
2460512.790	0.229	1.000173	0.000105			0.229	1.000173		
2460512.800	0.230	1.000167	0.000041			0.23	1.000167		
2460512.810	0.231	1.000041	0.000062			0.231	1.000041		
2460512.820	0.232	1.000468	0.000334			0.232	1.000468		
2460512.830	0.233	1.000311	0.000469			0.233	1.000311		
2460512.840	0.234	0.999961	0.000089			0.234	0.999961		
2460512.850	0.235	0.999941	0.000486			0.235	0.999941		
2460512.860	0.236	1.000181	0.000089			0.236	1.000181		
2460512.870	0.237	1.000325	0.000295			0.237	1.000325		
2460512.880	0.238	1.000402	0.000461			0.238	1.000402		
2460512.890	0.239	1.000015	0.000434			0.239	1.000015		
2460512.900	0.240	1.000176	0.000031			0.24	1.000176		
2460512.910	0.241	0.999911	0.000268			0.241	0.999911		
2460512.920	0.242	1.000003	0.000038			0.242	1.000003		
2460512.930	0.243	1.000470	0.000355			0.243	1.000470		
2460512.940	0.244	1.000076	0.000257			0.244	1.000076		
2460512.950	0.245	1.000298	0.000430			0.245	1.000298		
2460512.960	0.246	1.000035	0.000395			0.246	1.000035		
2460512.970	0.247	1.000245	0.000107			0.247	1.000245		
2460512.980	0.248	1.000168	0.000283			0.248	1.000168		
2460512.990	0.249	1.000271	0.000146			0.249	1.000271		
2460513.000	0.250	1.000009	0.000032			0.25	1.000009		
2460513.010	0.251	1.000191	0.000029			0.251	1.000191		
2460513.020	0.252	1.000356	0.000468			0.252	1.000356		
2460513.030	0.253	0.999949	0.000261			0.253	0.999949		
2460513.040	0.254	1.000010	0.000422			0.254	1.000010		
2460513.050	0.255	1.000306	0.000092			0.255	1.000306		
2460513.060	0.256	1.000159	0.000018			0.256	1.000159		
2460513.070	0.257	1.000459	0.000498			0.257	1.000459		
2460513.080	0.258	1.000361	0.000431			0.258	1.000361		
2460513.090	0.259	1.000007	0.000412			0.259	1.000007		
2460513.100	0.260	1.000053	0.000460			0.26	1.000053		
2460513.110	0.261	1.000404	0.000373			0.261	1.000404		
2460513.120	0.262	1.000027	0.000173			0.262	1.000027		
2460513.130	0.263	1.000224	0.000095			0.263	1.000224		
2460513.140	0.264	1.000321	0.000294			0.264	1.000321		
2460513.150	0.265	0.999954	0.000166			0.265	0.999954		
2460513.160	0.266	1.000358	0.000103			0.266	1.000358		
2460513.170	0.267	1.000309	0.000461			0.267	1.000309		
2460513.180	0.268	1.000164	0.000126			0.268	1.000164		
2460513.190	0.269	1.000135	0.000221			0.269	1.000135		
2460513.200	0.270	1.000217	0.000092			0.27	1.000217		
2460513.210	0.271	1.000078	0.000170			0.271	1.000078		
2460513.220	0.272	0.999962	0.000162			0.272	0.999962		
2460513.230	0.273	1.000302	0.000125			0.273	1.000302		
2460513.240	0.274	1.000189	0.000061			0.274	1.000189		
2460513.250	0.275	1.000493	0.000058			0.275	1.000493		
2460513.260	0.276	1.000464	0.000468			0.276	1.000464		
2460513.270	0.277	1.000045	0.000157			0.277	1.000045		
2460513.280	0.278	0.999819	0.000033			0.278	0.999819		
2460513.290	0.279	1.000210	0.000046			0.279	1.000210		
2460513.300	0.280	1.000086	0.000161			0.28	1.000086		
2460513.310	0.281	1.000024	0.000463			0.281	1.000024		
2460513.320	0.282	1.000316	0.000344			0.282	1.000316		
2460513.330	0.283	1.000043	0.000413			0.283	1.000043		
2460513.340	0.284	0.999873	0.000456			0.284	0.999873		
2460513.350	0.285	0.999902	0.000489			0.285	0.999902		
2460513.360	0.286	1.000218	0.000414			0.286	1.000218		
2460513.370	0.287	1.000489	0.000034			0.287	1.000489		
2460513.380	0.288	1.000270	0.000378			0.288	1.000270		
2460513.390	0.289	1.000232	0.000246			0.289	1.000232		
2460513.400	0.290	1.000175	0.000147			0.29	1.000175		
2460513.410	0.291	1.000238	0.000228			0.291	1.000238		
2460513.420	0.292	1.000376	0.000322			0.292	1.000376		
2460513.430	0.293	1.000260	0.000180			0.293	1.000260		
2460513.440	0.294	1.000100	0.000208			0.294	1.000100		
2460513.450	0.295	1.000319	0.000360			0.295	1.000319		
2460513.460	0.296	0.999989	0.000037			0.296	0.999989		
2460513.470	0.297	1.000188	0.000214			0.297	1.000188		
2460513.480	0.298	1.000186	0.000334			0.298	1.000186		
2460513.490	0.299	1.000399	0.000410			0.299	1.000399		
2460513.500	0.300	1.000242	0.000410			0.3	1.000242		
2460513.510	0.301	1.000315	0.000187			0.301	1.000315		
2460513.520	0.302	1.000097	0.000228			0.302	1.000097		
2460513.530	0.303	1.000297	0.000476			0.303	1.000297		
2460513.540	0.304	1.000297	0.000260			0.304	1.000297		
2460513.550	0.305	1.000315	0.000198			0.305	1.000315		
2460513.560	0.306	1.000454	0.000098			0.306	1.000454		
2460513.570	0.307	1.000169	0.000496			0.307	1.000169		
2460513.580	0.308	1.000174	0.000349			0.308	1.000174		
2460513.590	0.309	1.000001	0.000454			0.309	1.000001		
2460513.600	0.310	1.000142	0.000489			0.31	1.000142		
2460513.610	0.311	1.000448	0.000015			0.311	1.000448		
2460513.620	0.312	1.000288	0.000203			0.312	1.000288		
2460513.630	0.313	1.000424	0.000024			0.313	1.000424		
2460513.640	0.314	1.000021	0.000193			0.314	1.000021		
2460513.650	0.315	1.000272	0.000003			0.315	1.000272		
2460513.660	0.316	0.999986	0.000437			0.316	0.999986		
2460513.670	0.317	0.999953	0.000432			0.317	0.999953		
2460513.680	0.318	1.000242	0.000115			0.318	1.000242		
2460513.690	0.319	1.000058	0.000428			0.319	1.000058		
2460513.700	0.320	1.000255	0.000232			0.32	1.000255		
2460513.710	0.321	1.000277	0.000217			0.321	1.000277		
2460513.720	0.322	0.999813	0.000418			0.322	0.999813		
2460513.730	0.323	1.000292	0.000044			0.323	1.000292		
2460513.740	0.324	1.000391	0.000163			0.324	1.000391		
2460513.750	0.325	1.000089	0.000122			0.325	1.000089		
2460513.760	0.326	1.000012	0.000337			0.326	1.000012		
2460513.770	0.327	1.000305	0.000257			0.327	1.000305		
2460513.780	0.328	1.000117	0.000265			0.328	1.000117		
2460513.790	0.329	0.999916	0.000034			0.329	0.999916		
2460513.800	0.330	1.000425	0.000045			0.33	1.000425		
2460513.810	0.331	1.000116	0.000397			0.331	1.000116		
2460513.820	0.332	1.000323	0.000132			0.332	1.000323		
2460513.830	0.333	1.000253	0.000321			0.333	1.000253		
2460513.840	0.334	1.000062	0.000189			0.334	1.000062		
2460513.850	0.335	0.999950	0.000249			0.335	0.999950		
2460513.860	0.336	1.000007	0.000028			0.336	1.000007		
2460513.870	0.337	1.000475	0.000353			0.337	1.000475		
2460513.880	0.338	1.000237	0.000216			0.338	1.000237		
2460513.890	0.339	1.000263	0.000302			0.339	1.000263		
2460513.900	0.340	1.000000	0.000456			0.34	1.000000		
2460513.910	0.341	1.000251	0.000032			0.341	1.000251		
2460513.920	0.342	1.000135	0.000348			0.342	1.000135		
2460513.930	0.343	1.000115	0.000041			0.343	1.000115		
2460513.940	0.344	1.000497	0.000286			0.344	1.000497		
2460513.950	0.345	1.000149	0.000336			0.345	1.000149		
2460513.960	0.346	1.000011	0.000362			0.346	1.000011		
2460513.970	0.347	1.000195	0.000171			0.347	1.000195		
2460513.980	0.348	1.000254	0.000029			0.348	1.000254		
2460513.990	0.349	1.000080	0.000207			0.349	1.000080		
2460514.000	0.350	1.000060	0.000481			0.35	1.000060		
2460514.010	0.351	1.000279	0.000020			0.351	1.000279		
2460514.020	0.352	1.000372	0.000228			0.352	1.000372		
2460514.030	0.353	1.000068	0.000198			0.353	1.000068		
2460514.040	0.354	0.999928	0.000013			0.354	0.999928		
2460514.050	0.355	1.000136	0.000111			0.355	1.000136		
2460514.060	0.356	1.000399	0.000135			0.356	1.000399		
2460514.070	0.357	1.000336	0.000061			0.357	1.000336		
2460514.080	0.358	1.000053	0.000422			0.358	1.000053		
2460514.090	0.359	1.000089	0.000174			0.359	1.000089		
2460514.100	0.360	0.999971	0.000350			0.36	0.999971		
2460514.110	0.361	1.000303	0.000197			0.361	1.000303		
2460514.120	0.362	1.000146	0.000267			0.362	1.000146		
2460514.130	0.363	1.000400	0.000346			0.363	1.000400		
2460514.140	0.364	1.000109	0.000254			0.364	1.000109		
2460514.150	0.365	1.000318	0.000289			0.365	1.000318		
2460514.160	0.366	0.999926	0.000145			0.366	0.999926		
2460514.170	0.367	1.000334	0.000357			0.367	1.000334		
2460514.180	0.368	1.000196	0.000215			0.368	1.000196		
2460514.190	0.369	1.000036	0.000083			0.369	1.000036		
2460514.200	0.370	1.000455	0.000401			0.37	1.000455		
2460514.210	0.371	1.000194	0.000446			0.371	1.000194		
2460514.220	0.372	1.000104	0.000083			0.372	1.000104		
2460514.230	0.373	0.999903	0.000252			0.373	0.999903		
2460514.240	0.374	1.000228	0.000202			0.374	1.000228		
2460514.250	0.375	1.000137	0.000093			0.375	1.000137		
2460514.260	0.376	1.000249	0.000379			0.376	1.000249		
2460514.270	0.377	1.000352	0.000230			0.377	1.000352		
2460514.280	0.378	0.999807	0.000085			0.378	0.999807		
2460514.290	0.379	0.999915	0.000042			0.379	0.999915		
2460514.300	0.380	1.000328	0.000317			0.38	1.000328		
2460514.310	0.381	1.000390	0.000293			0.381	1.000390		
2460514.320	0.382	1.000338	0.000022			0.382	1.000338		
2460514.330	0.383	1.000106	0.000163			0.383	1.000106		
2460514.340	0.384	1.000227	0.000225			0.384	1.000227		
2460514.350	0.385	1.000107	0.000473			0.385	1.000107		
2460514.360	0.386	1.000264	0.000132			0.386	1.000264		
2460514.370	0.387	1.000466	0.000165			0.387	1.000466		
2460514.380	0.388	1.000105	0.000330			0.388	1.000105		
2460514.390	0.389	0.999979	0.000018			0.389	0.999979		
2460514.400	0.390	1.000308	0.000449			0.39	1.000308		
2460514.410	0.391	1.000152	0.000468			0.391	1.000152		
2460514.420	0.392	1.000067	0.000111			0.392	1.000067		
2460514.430	0.393	1.000429	0.000187			0.393	1.000429		
2460514.440	0.394	1.000043	0.000073			0.394	1.000043		
2460514.450	0.395	1.000305	0.000442			0.395	1.000305		
2460514.460	0.396	1.000255	0.000013			0.396	1.000255		
2460514.470	0.397	1.000233	0.000279			0.397	1.000233		
2460514.480	0.398	1.000325	0.000124			0.398	1.000325		
2460514.490	0.399	1.000290	0.000059			0.399	1.000290		
2460514.500	0.400	1.000406	0.000418			0.4	1.000406		
2460514.510	0.401	1.000237	0.000483			0.401	1.000237		
2460514.520	0.402	1.000385	0.000151			0.402	1.000385		
2460514.530	0.403	0.999876	0.000134			0.403	0.999876		
2460514.540	0.404	0.999943	0.000063			0.404	0.999943		
2460514.550	0.405	1.000244	0.000106			0.405	1.000244		
2460514.560	0.406	1.000308	0.000318			0.406	1.000308		
2460514.570	0.407	1.000183	0.000472			0.407	1.000183		
2460514.580	0.408	1.000016	0.000176			0.408	1.000016		
2460514.590	0.409	0.999964	0.000345			0.409	0.999964		
2460514.600	0.410	1.000164	0.000278			0.41	1.000164		
2460514.610	0.411	1.000286	0.000246			0.411	1.000286		
2460514.620	0.412	1.000104	0.000471			0.412	1.000104		
2460514.630	0.413	1.000105	0.000113			0.413	1.000105		
2460514.640	0.414	1.000368	0.000090			0.414	1.000368		
2460514.650	0.415	1.000349	0.000188			0.415	1.000349		
2460514.660	0.416	0.999934	0.000449			0.416	0.999934		
2460514.670	0.417	1.000127	0.000039			0.417	1.000127		
2460514.680	0.418	1.000467	0.000430			0.418	1.000467		
2460514.690	0.419	1.000099	0.000133			0.419	1.000099		
2460514.700	0.420	1.000275	0.000002			0.42	1.000275		
2460514.710	0.421	1.000040	0.000445			0.421	1.000040		
2460514.720	0.422	1.000027	0.000322			0.422	1.000027		
2460514.730	0.423	0.999979	0.000372			0.423	0.999979		
2460514.740	0.424	1.000174	0.000105			0.424	1.000174		
2460514.750	0.425	1.000474	0.000377			0.425	1.000474		
2460514.760	0.426	1.000363	0.000247			0.426	1.000363		
2460514.770	0.427	1.000111	0.000083			0.427	1.000111		
2460514.780	0.428	0.999819	0.000051			0.428	0.999819		
2460514.790	0.429	1.000253	0.000362			0.429	1.000253		
2460514.800	0.430	0.999930	0.000362			0.43	0.999930		
2460514.810	0.431	1.000383	0.000147			0.431	1.000383		
2460514.820	0.432	1.000124	0.000332			0.432	1.000124		
2460514.830	0.433	1.000338	0.000348			0.433	1.000338		
2460514.840	0.434	1.000165	0.000171			0.434	1.000165		
2460514.850	0.435	0.999908	0.000135			0.435	0.999908		
2460514.860	0.436	1.000337	0.000466			0.436	1.000337		
2460514.870	0.437	1.000168	0.000262			0.437	1.000168		
2460514.880	0.438	1.000176	0.000271			0.438	1.000176		
2460514.890	0.439	1.000144	0.000431			0.439	1.000144		
2460514.900	0.440	0.999929	0.000185			0.44	0.999929		
2460514.910	0.441	0.999809	0.000388			0.441	0.999809		
2460514.920	0.442	1.000229	0.000452			0.442	1.000229		
2460514.930	0.443	1.000043	0.000178			0.443	1.000043		
2460514.940	0.444	1.000463	0.000417			0.444	1.000463		
2460514.950	0.445	0.999965	0.000158			0.445	0.999965		
2460514.960	0.446	0.999922	0.000469			0.446	0.999922		
2460514.970	0.447	0.999978	0.000258			0.447	0.999978		
2460514.980	0.448	1.000305	0.000083			0.448	1.000305		
2460514.990	0.449	1.000173	0.000114			0.449	1.000173		
2460515.000	0.450	1.000095	0.000250			0.45	1.000095		
2460515.010	0.451	1.000014	0.000274			0.451	1.000014		
2460515.020	0.452	0.999975	0.000288			0.452	0.999975		
2460515.030	0.453	1.000181	0.000317			0.453	1.000181		
2460515.040	0.454	1.000340	0.000390			0.454	1.000340		
2460515.050	0.455	1.000287	0.000463			0.455	1.000287		
2460515.060	0.456	1.000166	0.000358			0.456	1.000166		
2460515.070	0.457	1.000089	0.000297			0.457	1.000089		
2460515.080	0.458	1.000075	0.000439			0.458	1.000075		
2460515.090	0.459	1.000074	0.000225			0.459	1.000074		
2460515.100	0.460	0.999877	0.000206			0.46	0.999877		
2460515.110	0.461	1.000398	0.000246			0.461	1.000398		
2460515.120	0.462	1.000069	0.000290			0.462	1.000069		
2460515.130	0.463	1.000324	0.000202			0.463	1.000324		
